| time |reset|ARegister|DRegister|PC[]|RAM16K[16|RAM16K[17|RAM16K[18|
| 0    |  0  |       0 |       0 |   0|       0 |       0 |       0 |
| 1    |  1  |      16 |       0 |   0|      45 |      31 |       0 |
| 2    |  0  |      16 |       0 |   1|      45 |      31 |       0 |
| 3    |  0  |      16 |      45 |   2|      45 |      31 |       0 |
| 4    |  0  |      17 |      45 |   3|      45 |      31 |       0 |
| 5    |  0  |      17 |      14 |   4|      45 |      31 |       0 |
| 6    |  0  |       9 |      14 |   5|      45 |      31 |       0 |
| 7    |  0  |       9 |      14 |   9|      45 |      31 |       0 |
| 8    |  0  |      18 |      14 |  10|      45 |      31 |       0 |
| 9    |  0  |      18 |      14 |  11|      45 |      31 |      14 |
| 10   |  0  |       0 |      14 |  12|      45 |      31 |      14 |
| 11   |  0  |       0 |      14 |  13|      45 |      31 |      14 |
| 12   |  0  |       0 |      14 |  14|      45 |      31 |      14 |
| 13   |  0  |       0 |      14 |  15|      45 |      31 |      14 |
| 14   |  0  |       0 |      14 |  16|      45 |      31 |      14 |
| 15   |  0  |       0 |      14 |  17|      45 |      31 |      14 |
| 16   |  0  |       0 |      14 |  18|      45 |      31 |      14 |
| 17   |  1  |       0 |      14 |   0|      49 |      64 |       0 |
| 18   |  0  |      16 |      14 |   1|      49 |      64 |       0 |
| 19   |  0  |      16 |      49 |   2|      49 |      64 |       0 |
| 20   |  0  |      17 |      49 |   3|      49 |      64 |       0 |
| 21   |  0  |      17 |     -15 |   4|      49 |      64 |       0 |
| 22   |  0  |       9 |     -15 |   5|      49 |      64 |       0 |
| 23   |  0  |       9 |     -15 |   6|      49 |      64 |       0 |
| 24   |  0  |      17 |     -15 |   7|      49 |      64 |       0 |
| 25   |  0  |      17 |      49 |   8|      49 |      64 |       0 |
| 26   |  0  |      17 |      15 |   9|      49 |      64 |       0 |
| 27   |  0  |      18 |      15 |  10|      49 |      64 |       0 |
| 28   |  0  |      18 |      15 |  11|      49 |      64 |      15 |
| 29   |  0  |       0 |      15 |  12|      49 |      64 |      15 |
| 30   |  0  |       0 |      15 |  13|      49 |      64 |      15 |
| 31   |  0  |       0 |      15 |  14|      49 |      64 |      15 |
| 32   |  0  |       0 |      15 |  15|      49 |      64 |      15 |
| 33   |  1  |       0 |      15 |   0|    1987 |    2045 |       0 |
| 34   |  0  |      16 |      15 |   1|    1987 |    2045 |       0 |
| 35   |  0  |      16 |    1987 |   2|    1987 |    2045 |       0 |
| 36   |  0  |      17 |    1987 |   3|    1987 |    2045 |       0 |
| 37   |  0  |      17 |     -58 |   4|    1987 |    2045 |       0 |
| 38   |  0  |       9 |     -58 |   5|    1987 |    2045 |       0 |
| 39   |  0  |       9 |     -58 |   6|    1987 |    2045 |       0 |
| 40   |  0  |      17 |     -58 |   7|    1987 |    2045 |       0 |
| 41   |  0  |      17 |    1987 |   8|    1987 |    2045 |       0 |
| 42   |  0  |      17 |      58 |   9|    1987 |    2045 |       0 |
| 43   |  0  |      18 |      58 |  10|    1987 |    2045 |       0 |
| 44   |  0  |      18 |      58 |  11|    1987 |    2045 |      58 |
| 45   |  0  |       0 |      58 |  12|    1987 |    2045 |      58 |
| 46   |  0  |       0 |      58 |  13|    1987 |    2045 |      58 |
| 47   |  0  |       0 |      58 |  14|    1987 |    2045 |      58 |
| 48   |  0  |       0 |      58 |  15|    1987 |    2045 |      58 |
| 49   |  1  |       0 |      58 |   0|   20304 |   12178 |       0 |
| 50   |  0  |      16 |      58 |   1|   20304 |   12178 |       0 |
| 51   |  0  |      16 |   20304 |   2|   20304 |   12178 |       0 |
| 52   |  0  |      17 |   20304 |   3|   20304 |   12178 |       0 |
| 53   |  0  |      17 |    8126 |   4|   20304 |   12178 |       0 |
| 54   |  0  |       9 |    8126 |   5|   20304 |   12178 |       0 |
| 55   |  0  |       9 |    8126 |   9|   20304 |   12178 |       0 |
| 56   |  0  |      18 |    8126 |  10|   20304 |   12178 |       0 |
| 57   |  0  |      18 |    8126 |  11|   20304 |   12178 |    8126 |
| 58   |  0  |       0 |    8126 |  12|   20304 |   12178 |    8126 |
| 59   |  0  |       0 |    8126 |  13|   20304 |   12178 |    8126 |
| 60   |  0  |       0 |    8126 |  14|   20304 |   12178 |    8126 |
| 61   |  0  |       0 |    8126 |  15|   20304 |   12178 |    8126 |
| 62   |  0  |       0 |    8126 |  16|   20304 |   12178 |    8126 |
| 63   |  0  |       0 |    8126 |  17|   20304 |   12178 |    8126 |
| 64   |  0  |       0 |    8126 |  18|   20304 |   12178 |    8126 |
| 65   |  1  |       0 |    8126 |   0|      73 |       6 |       0 |
| 66   |  0  |      16 |    8126 |   1|      73 |       6 |       0 |
| 67   |  0  |      16 |      73 |   2|      73 |       6 |       0 |
| 68   |  0  |      17 |      73 |   3|      73 |       6 |       0 |
| 69   |  0  |      17 |      67 |   4|      73 |       6 |       0 |
| 70   |  0  |       9 |      67 |   5|      73 |       6 |       0 |
| 71   |  0  |       9 |      67 |   9|      73 |       6 |       0 |
